Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Belize,7.1,11.2,6.8,5.0,3.4,4.2,0.8,2.0,5.3,0.0,2.0,2.3,2.4,1.5,2.6,2.9,6.4,1.0,-0.8,-1.2,0.6,1.1,2.2,2.6,3.1,3.7,4.2,2.3,6.4,-1.1,0.9,1.7,1.2,0.5,1.2,-0.9,0.7,1.1,0.3,0.2,0.1,3.2,6.3,4.4,3.3,2.1,1.5,1.3,1.3,1.3,1.3
Benin,9.6,0.8,4.1,-6.1,10.3,1.2,0.4,-1.3,3.4,-0.2,1.1,2.1,5.9,0.4,38.5,14.5,4.9,3.8,5.8,0.3,4.2,4.0,2.4,1.5,0.9,5.4,3.8,1.3,7.4,0.9,2.1,2.7,6.7,0.4,-0.6,0.2,-0.8,1.8,0.8,-0.9,3.0,1.7,1.4,2.7,1.2,2.2,2.0,2.0,2.0,2.0,2.0
Bhutan,12.5,5.0,9.9,12.1,13.0,8.0,5.2,7.0,8.2,8.9,9.4,10.3,8.1,9.6,9.5,7.1,8.8,8.6,7.6,9.1,7.2,3.7,2.9,2.5,3.3,4.8,4.9,5.2,6.3,7.1,4.8,8.6,10.1,8.1,9.6,6.7,3.3,4.3,3.6,2.8,3.0,8.2,5.9,4.5,4.3,3.2,4.7,4.6,4.4,4.1,4.0
Bosnia and Herzegovina,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,12.9,-11.7,5.7,-0.3,2.8,5.0,3.2,0.3,0.5,0.3,3.6,6.1,1.5,7.4,-0.4,2.1,4.0,2.1,-0.1,-0.9,-1.0,-1.6,0.8,1.4,0.6,-1.1,2.0,14.0,6.1,1.7,2.2,2.0,2.0,2.0,2.0,2.0
Botswana,12.1,16.3,11.2,10.5,8.6,8.1,10.0,9.8,8.4,11.6,11.4,12.6,16.5,14.4,10.6,10.5,10.1,8.9,6.5,7.8,8.5,6.6,8.0,9.2,7.0,8.6,11.6,7.1,12.6,8.1,6.9,8.5,7.5,5.9,4.4,3.1,2.8,3.3,3.2,2.7,1.9,6.7,12.2,5.1,2.8,4.5,4.5,4.5,4.5,4.5,4.5
Brunei Darussalam,21.079393939393935,17.254705882352944,0.0,1.2,3.1,2.1,1.8,1.2,1.2,1.3,2.1,1.6,1.3,4.3,2.5,6.0,2.0,1.7,-0.4,-0.4,1.6,0.6,-2.3,0.3,0.8,1.2,0.2,1.0,2.1,1.0,0.4,0.1,0.1,0.4,-0.2,-0.5,-0.3,-1.3,1.0,-0.4,1.9,1.7,3.7,0.4,-0.4,1.0,1.0,1.0,1.0,1.0,1.0
Burkina Faso,12.3,7.6,12.1,8.3,4.8,7.1,-2.7,-2.9,4.2,-0.3,-0.8,2.5,-2.0,0.6,24.7,7.8,6.1,2.9,4.9,-1.1,-0.2,4.7,2.3,2.0,-0.4,6.4,2.3,-0.2,10.7,0.9,-0.6,2.8,3.8,0.5,-0.3,1.7,0.4,1.5,2.0,-3.2,1.9,3.9,13.8,0.9,4.2,3.0,2.5,2.1,2.0,2.0,2.0
Cabo Verde,15.1,20.7,21.1,20.2,9.7,5.9,11.1,3.8,3.6,4.7,11.1,7.6,13.4,5.8,3.3,8.4,6.0,8.6,4.4,4.3,-2.4,3.7,1.9,1.2,-1.9,0.4,4.8,4.4,6.8,1.0,2.1,4.5,2.5,1.5,-0.2,0.1,-1.4,0.8,1.3,1.1,0.6,1.9,7.9,3.7,1.0,1.5,2.0,2.0,2.0,2.0,2.0
Cambodia,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,-31.2,23.0,63.8,141.8,191.0,75.0,114.3,10.4,10.1,7.1,10.5,12.9,2.0,-0.8,-0.1,0.0,1.0,3.9,6.3,6.1,7.7,25.0,-0.7,4.0,5.5,2.9,2.9,3.9,1.2,3.0,2.9,2.4,2.0,2.9,2.9,5.3,2.1,0.9,1.0,3.2,3.0,3.0,3.0,3.0
Cameroon,7.7,7.5,15.3,20.5,12.1,4.2,4.3,2.8,1.7,1.6,1.5,-0.6,1.9,-3.7,14.9,25.8,3.9,4.8,3.2,1.8,1.2,4.5,2.8,0.6,0.3,2.0,4.9,1.1,5.3,3.0,1.3,3.0,2.4,2.1,1.9,2.7,0.9,0.6,1.1,2.5,2.5,2.3,6.3,7.4,4.5,3.4,3.0,2.8,2.6,2.5,2.4
Canada,10.2,12.5,10.8,5.8,4.3,4.0,4.2,4.4,4.0,5.0,4.8,5.6,1.5,1.9,0.2,2.1,1.6,1.6,1.0,1.7,2.7,2.5,2.3,2.8,1.9,2.2,2.0,2.1,2.4,0.3,1.8,2.9,1.5,0.9,1.9,1.1,1.4,1.6,2.3,1.9,0.7,3.4,6.8,3.9,2.4,2.0,2.1,2.0,2.0,2.0,2.0
Central African Republic,13.3,14.7,13.2,14.6,2.6,10.5,2.4,-7.0,-3.9,0.6,-0.2,-2.8,-0.8,-2.9,24.5,19.2,3.8,1.6,-2.0,-1.6,3.4,4.1,2.3,4.4,-2.6,2.9,6.9,0.9,9.2,3.6,1.5,1.2,5.9,4.0,17.8,1.4,4.9,4.2,1.6,2.8,0.9,4.3,5.6,3.0,3.4,2.7,3.3,2.8,2.8,3.0,3.3
Chad,8.6,8.1,6.4,7.9,20.3,5.1,-13.1,-2.7,14.9,-4.9,0.5,4.2,-3.8,-10.9,41.3,5.4,11.3,5.6,4.3,-8.4,3.8,12.4,5.2,-1.8,-4.8,4.4,9.6,-7.4,8.3,10.1,-2.1,2.0,7.5,0.2,-5.5,4.8,-1.6,-0.9,4.0,-1.0,4.5,-0.8,5.8,4.1,5.7,3.9,3.5,3.0,3.0,3.0,3.0
Chile,35.1,19.7,9.9,27.3,19.9,30.7,19.5,19.9,14.7,17.0,26.0,21.8,15.4,12.7,11.4,8.2,7.4,6.1,5.1,3.3,3.8,3.6,2.5,2.8,1.1,3.1,3.4,4.4,8.7,1.5,1.4,3.3,3.0,1.8,4.7,4.3,3.8,2.2,2.3,2.3,3.0,4.5,11.6,7.6,3.9,4.4,3.2,3.0,3.0,3.0,3.0
